fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2025-11-01,Hamburguesa Vegetal Soja Vegetalex 300g,Hamburguesa Vegetalex Soja 300 Gr,3779.33,,,,4725.0,4350.0
2025-11-01,Hamburguesa Vegetal Tradicional Vegetalex 226g,Burger 100 Vegetal 226 Gr Vegetalex,6350.0,6349.0,6359.0,6350.0,5362.5,4987.5
2025-11-01,Hot Dogs 100% Vegetal Vegetalex 225g,Hot Dogs 100 Vegetal 225 Gr Vegetalex,,,6359.0,6350.0,5437.5,5025.0
2025-11-01,Medallon NotBurger Quick NotCo 130 Gr.,Medallon NotBurger Quick NotCo 130 Gr.,,,,3270.0,,
2025-11-01,"Medallones Vegetales Calabaza, Avena y Chía Vegetalex 300g",Medallones De Calabaza Avena Y Chia Vegetalex 300g,5670.0,5590.0,5675.0,5670.0,4800.0,4462.5
2025-11-01,Medallones Vegetales Espinaca Vegetalex 300g,Medallones De Espinaca Vegetalex 300g,5670.0,5590.0,5675.0,5670.0,4800.0,4462.5
2025-11-01,Medallones Vegetales Legumbres y Quinoa Vegetalex 300g,Medallones De Legumbres Y Quinoa Vegetalex 300g,5669.0,5590.0,5675.0,,4800.0,4462.5
2025-11-01,Medallones Vegetales Verduras Vegetalex 300g,Medallones De Verduras Vegetalex 300g,5675.0,5590.0,5675.0,,,4462.5
2025-11-01,Medallón NotBurger Parrillera NotCo 220 Gr.,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,6640.0,,
2025-11-01,Milanesa de Soja Calabaza Vegetalex 340g,Milanesa Vegetalex Calabaza 340 Gr Vegetalex,2913.33,2195.0,4370.0,,3787.5,3487.5
2025-11-01,Milanesa de Soja Cebolla Vegetalex 340g,Milanesa Vegetalex Cebolla 340 Gr Vegetalex,2913.33,2195.0,4370.0,,3787.5,3487.5
2025-11-01,Milanesa de Soja Espinaca Vegetalex 340g,Milanesa Vegetalex Espinaca 340 Gr Vegetalex,2666.0,2195.0,4369.0,,3787.5,3487.5
2025-11-01,Milanesa de Soja Vegetalex Tradicional 340g,Milanesa Vegetalex Tradicional 340 Gr Vegetalex,2660.0,1995.0,4045.0,3990.0,3375.0,3150.0
2025-11-01,NotChicken Nuggets 300 Gr.,NotChicken Nuggets 300 Gr.,,,,7630.0,,
2025-11-01,NotMila Chicken 220 Gr.,NotMila Chicken 220 Gr.,,,,4000.0,,
2025-11-01,NotMila Crispy Rellena Espinaca 240 Gr.,NotMila Crispy Rellena Espinaca 240 Gr.,,,,5710.0,,
2025-11-01,NotMila Meat 220 Gr.,NotMila Meat 220 Gr.,,,,4460.0,,
2025-11-01,Nuggets 100% Vegetal Vegetalex 300g,Nuggets 100 Vegetal 300 Gr Vegetalex,6359.0,6349.0,6359.0,,5437.5,5025.0
2025-11-01,Snack de Arroz Sabor Queso Vegetalex 40g,Snack De Arroz Sabor Queso Vegetalex 40g,,,1586.0,,,
2025-11-01,Snack de Arroz con Chocolate Vegetalex 60g,Snack De Arroz Con Chocolate Vegetalex 60g,,,2290.0,,,
2025-11-01,Snack de Arroz y Quinoa Vegetalex 40g,Snack De Arroz Y Quinoa Vegetalex 40g,,,1586.0,,,
